crime_type,borough,date_reported,time_of_day,suspect_age,weapon_used,witness_count,evidence_count,officer_experience,response_time,case_status
BURGLARY,central,04-30-2024,,17,NONE,2,0,17,22.0,UNSOLVED
Burglary, west ,2025-05-05, night ,37,FIREARM,5,4,11,20.9,solved
Robbery,West,11/06/2024,AFTERNOON,68,NONE,0,3,17,13.8, solved 
FRAUD, west ,"Jun 20, 2025",Afternoon,21,knife,1,,10,17.3, solved 
theft,east,11-19-2025,Evening,37, none ,1,1,3,11.1, unsolved 
,SOUTH,2024-10-28,Night,34,KNIFE,1,3,10,16.5,UNSOLVED
theft,CENTRAL,20/10/2024,Afternoon,35,none,1,5,1,11.5, solved 
Assault, central ,"Apr 25, 2024",Afternoon,19,NONE,4,3,,6.5,SOLVED
THEFT,east,03-01-2024,morning,,Knife,2,2,15,8.8,UNSOLVED
Theft,Central,2025-06-18,MORNING,14,,2,4,3,15.4,UNSOLVED
Theft,north,20/03/2024,morning,47,NONE,0,4,13,,SOLVED
 fraud ,west,"Jul 23, 2025", morning ,42,none,0,2,9,9.8,unsolved
vandalism,South,,Evening,35,none,2,4,16,25.8,Unsolved
Burglary,east,2025-07-15,evening,49,other,1,3,11,20.7,UNSOLVED
THEFT, south ,20/12/2024, afternoon ,48, none ,3,1,12,20.7,Unsolved
 assault ,central,"Mar 27, 2024",evening,14, knife ,1,2,14,18.0, solved 
Assault,south,11-22-2025,afternoon,,NONE,2,1,19,14.0,solved
THEFT,West,2025-09-10,Night,34, none ,2,1,9,17.9,SOLVED
 assault ,SOUTH,04/02/2025, night ,38,None,2,4,6,,SOLVED
 vandalism , south ,"Feb 01, 2024",Evening,35,KNIFE,5,3,17,21.3,solved
Theft,East,11-16-2025, afternoon ,34,Other,1,7,5,8.3, solved 
Burglary,WEST,2025-05-15,MORNING,42,Knife,0,4,22,11.5,Solved
Assault,South,03/03/2024,Afternoon,49, none ,2,2,12,14.2,UNSOLVED
Robbery,east,01/11/2024,afternoon,42,Firearm,0,3,5,13.2,unsolved
 vandalism ,west,"Sep 25, 2024", evening ,51,None,4,3,6,11.8,Solved
Burglary,WEST,2024-09-11,MORNING,14,BLUNT OBJECT,3,2,10,12.6,Unsolved
Theft,Central,03-03-2024,MORNING,58,none,3,2,5,9.6,Solved
BURGLARY,central,29/03/2024,MORNING,14, blunt object ,2,4,5,14.7,solved
Burglary,east,2025-07-15,evening,49,other,1,3,11,20.7,UNSOLVED
